country,adm1,adm2,adm3,adm4,lat,lon,GPS_level,hhID,fieldID,plotID,crop,season,plot_area_measured_ha,plot_area_reported_ha,plot_area_reported_localUnit,localUnit_area,crop_area_share,planting_year,planting_month,harvest_month,harvest_year,harvest_month_begin,harvest_month_end,harvest_year_begin,harvest_year_end,dataset_name,dataset_doi
Mali,Kayes,Kayes,KAYES CENTRAL,NA,14.6111907855,-11.3652868033,3,1_6,3,1,Sorghum,NA,1.69200003147125,0.694999992847443,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,MLI_2014_EACI_v03_M,https://doi.org/10.48529/qqam-mn86
Mali,Kayes,Kayes,KAYES CENTRAL,NA,14.6111907855,-11.3652868033,3,1_6,2,3,Peanut,NA,0.476999998092651,0.146999999880791,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,MLI_2014_EACI_v03_M,https://doi.org/10.48529/qqam-mn86
Mali,Kayes,Kayes,KAYES CENTRAL,NA,14.6111907855,-11.3652868033,3,1_6,2,1,Peanut,NA,0.168999999761581,0.11599999666214,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,MLI_2014_EACI_v03_M,https://doi.org/10.48529/qqam-mn86
Mali,Kayes,Kayes,KAYES CENTRAL,NA,14.6111907855,-11.3652868033,3,1_6,1,1,Corn,NA,1.43900001049042,0.14300000667572,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,MLI_2014_EACI_v03_M,https://doi.org/10.48529/qqam-mn86
Mali,Kayes,Kayes,KAYES CENTRAL,NA,14.6111907855,-11.3652868033,3,1_6,2,2,Peanut,NA,3.15499997138977,0.314999997615814,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,MLI_2014_EACI_v03_M,https://doi.org/10.48529/qqam-mn86
Mali,Kayes,Kayes,KAYES CENTRAL,NA,14.6111907855,-11.3652868033,3,1_9,2,5,Peanut,NA,0.211999997496605,NA,NA,NA,NA,NA,8,NA,NA,10,10,NA,NA,MLI_2014_EACI_v03_M,https://doi.org/10.48529/qqam-mn86
Mali,Kayes,Kayes,KAYES CENTRAL,NA,14.6111907855,-11.3652868033,3,1_9,1,1,Corn,NA,1.18599998950958,NA,NA,NA,NA,NA,7,NA,NA,9,9,NA,NA,MLI_2014_EACI_v03_M,https://doi.org/10.48529/qqam-mn86
Mali,Kayes,Kayes,KAYES CENTRAL,NA,14.6111907855,-11.3652868033,3,1_9,2,4,Peanut,NA,0.158999994397163,NA,NA,NA,NA,NA,8,NA,NA,10,10,NA,NA,MLI_2014_EACI_v03_M,https://doi.org/10.48529/qqam-mn86
Mali,Kayes,Kayes,KAYES CENTRAL,NA,14.6111907855,-11.3652868033,3,1_9,2,1,Peanut,NA,0.333000004291534,NA,NA,NA,NA,NA,8,NA,NA,10,10,NA,NA,MLI_2014_EACI_v03_M,https://doi.org/10.48529/qqam-mn86
Mali,Kayes,Kayes,KAYES CENTRAL,NA,14.6111907855,-11.3652868033,3,1_9,2,3,Peanut,NA,0.495000004768372,NA,NA,NA,NA,NA,8,NA,NA,10,10,NA,NA,MLI_2014_EACI_v03_M,https://doi.org/10.48529/qqam-mn86
Mali,Kayes,Kayes,KAYES CENTRAL,NA,14.6111907855,-11.3652868033,3,1_9,2,2,Peanut,NA,0.103000000119209,NA,NA,NA,NA,NA,8,NA,NA,10,10,NA,NA,MLI_2014_EACI_v03_M,https://doi.org/10.48529/qqam-mn86
Mali,Kayes,Kayes,KAYES CENTRAL,NA,14.5785269451,-11.3795467759,3,2_3,1,2,Sorghum,NA,1.28199994564056,1.28199994564056,NA,NA,NA,NA,7,NA,NA,10,10,NA,NA,MLI_2014_EACI_v03_M,https://doi.org/10.48529/qqam-mn86
